Price;Mileage
5350;39590
5700;45561
10400;107856
5580;46829
39800;3641
23100;49496
25000;28307
11900;59537
4160;32870
5690;47085
5090;42989
6800;49033
4260;33957
7210;38910
6800;36767
10780;19420
4040;50765
4290;39029
4160;6743
6060;32504
6140;52966
6760;35461
5470;39721
1400;185460
5000;109360
8600;219823
15500;66452
15600;35275
18200;162281
10500;74203
4610;87229
4240;83262
14500;111782
67000;10944
33000;32251
31700;26549
2320;112182
3570;17355
4700;93423
22500;20575
22500;26026
8300;99015
16500;27327
14500;30229
30000;43294
30000;54309
30000;52822
30000;45554
30000;37538
29500;35153
21600;23783
22600;30759
16300;38922
8600;165836
28800;19235
22100;9445
14300;19164
13700;54106
29500;32051
18500;14870
19000;32294
43400;7250
46000;10145
12500;59924
13900;21304
13000;52079
13000;54960
3000;80099
17500;23987
7900;84144
8900;85639
11500;50193
6500;74392
8000;76117
18700;36358
8350;90685
27900;54141
14500;82240
6200;66167
7500;144220
20200;24722
29300;41198
31000;26353
32400;28280
5800;130120
21500;15340
23100;12265
4500;94872
24800;17946
23000;26996
26900;5775
21500;6748
15700;38128
15200;41636
23300;5359
6100;70296
20000;11346
53000;7415
3000;107593
18200;50639
21800;6530
52000;17432
19000;19636
25000;41748
36000;13162
17000;32937
25300;23095
14900;34432
15000;48162
12995;68310
17750;48000
10295;105962
16995;96575
25000;13239
18300;10447
