LIMIT_BAL;AGE
20000;24
120000;26
90000;34
50000;37
50000;57
50000;37
5.00E+05;29
1.00E+05;23
140000;28
20000;35
2.00E+05;34
260000;51
630000;41
70000;30
250000;29
50000;23
20000;24
320000;49
360000;49
180000;29
130000;39
120000;39
70000;26
450000;40
90000;23
50000;23
60000;27
50000;30
50000;47
50000;26
230000;27
50000;33
1.00E+05;32
5.00E+05;54
5.00E+05;58
160000;30
280000;40
60000;22
50000;25
280000;31
360000;33
70000;25
10000;22
140000;37
40000;30
210000;29
20000;22
150000;46
380000;32
20000;24
70000;42
1.00E+05;43
310000;49
180000;25
150000;29
5.00E+05;45
180000;34
180000;34
2.00E+05;34
4.00E+05;29
5.00E+05;28
70000;39
50000;29
50000;46
130000;51
2.00E+05;57
10000;56
210000;30
130000;29
20000;22
80000;31
320000;29
2.00E+05;32
290000;37
340000;32
20000;24
50000;25
3.00E+05;45
30000;22
240000;44
470000;33
360000;26
60000;30
4.00E+05;44
50000;49
160000;33
360000;45
160000;32
130000;35
20000;44
2.00E+05;53
280000;39
1.00E+05;27
160000;37
60000;23
90000;35
360000;43
150000;27
50000;22
20000;38
140000;32
380000;30
480000;63
50000;22
